,Category,Engine type,"Transmission type,final drive",Displacement ccm,Fuel capacity liters,Power HP,Front brakes,Rear brakes
35421,Sport,"Single cylinder, four-stroke",Chain,246.2,17.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35422,Allround,"Single cylinder, four-stroke",Chain,246.0,17.0,24.8,Expanding brake (drum brake),Expanding brake (drum brake)
35432,Touring,"Twin, two-stroke",Chain,249.0,9.0,17.5,Expanding brake (drum brake),Expanding brake (drum brake)
35433,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,30.1,Expanding brake (drum brake),Expanding brake (drum brake)
35434,Allround,"Single cylinder, four-stroke",Shaft drive (cardan),247.0,15.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35435,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,17.0,26.0,Expanding brake (drum brake),Expanding brake (drum brake)
35436,Sport,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,42.0,Expanding brake (drum brake),Expanding brake (drum brake)
35437,Naked bike,"Twin, four-stroke",Chain,500.0,18.0,33.0,Expanding brake (drum brake),Expanding brake (drum brake)
35438,Sport,"Twin, four-stroke",Chain,654.0,15.14,54.0,Expanding brake (drum brake),Expanding brake (drum brake)
35445,Sport,"Single cylinder, four-stroke",Chain,156.0,13.0,13.0,Expanding brake (drum brake),Expanding brake (drum brake)
35448,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,22.0,Expanding brake (drum brake),Expanding brake (drum brake)
35449,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,22.0,Expanding brake (drum brake),Expanding brake (drum brake)
35450,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35451,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35454,Sport,"Single cylinder, four-stroke",Chain,340.0,13.0,20.0,Expanding brake (drum brake),Expanding brake (drum brake)
35461,Touring,"V2, four-stroke",Chain,1212.7,16.0,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35467,Sport,"Single cylinder, two-stroke",Chain,173.0,11.5,9.3,Expanding brake (drum brake),Expanding brake (drum brake)
35468,Sport,"Single cylinder, two-stroke",Chain,97.0,13.0,8.2,Expanding brake (drum brake),Expanding brake (drum brake)
35474,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.5,Expanding brake (drum brake),Expanding brake (drum brake)
35475,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.5,Expanding brake (drum brake),Expanding brake (drum brake)
35480,Allround,"Twin, four-stroke",Chain,624.0,15.0,49.0,Expanding brake (drum brake),Expanding brake (drum brake)
35481,Allround,"In-line four, four-stroke",Chain,624.0,15.0,53.0,Expanding brake (drum brake),Expanding brake (drum brake)
35490,Sport,"Twin, two-stroke",Chain,250.0,15.0,17.5,Expanding brake (drum brake),Expanding brake (drum brake)
35502,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35503,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35506,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35507,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
35508,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
35520,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35521,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35522,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35523,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35524,Sport,"Twin, four-stroke",Chain,649.0,15.14,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35525,Sport,"Twin, four-stroke",Chain,649.0,15.14,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35533,Scooter,"Single cylinder, two-stroke",Chain,181.1,9.0,10.0,Expanding brake (drum brake),Expanding brake (drum brake)
35536,Sport,"Twin, two-stroke",Chain,246.0,11.36,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35537,Sport,"Single cylinder, two-stroke",Chain,98.0,11.5,8.1,Expanding brake (drum brake),Expanding brake (drum brake)
35539,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35540,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35547,Allround,"V2, four-stroke",Chain,646.0,16.0,31.4,Expanding brake (drum brake),Expanding brake (drum brake)
35548,Sport,"Single cylinder, four-stroke",Chain,246.2,17.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35550,Allround,"Single cylinder, four-stroke",Chain,246.0,17.0,24.8,Expanding brake (drum brake),Expanding brake (drum brake)
35559,Touring,"Twin, two-stroke",Chain,249.0,9.0,17.5,Expanding brake (drum brake),Expanding brake (drum brake)
35560,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,30.1,Expanding brake (drum brake),Expanding brake (drum brake)
35561,Allround,"Single cylinder, four-stroke",Shaft drive (cardan),247.0,15.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35562,Allround,"Single cylinder, four-stroke",Shaft drive (cardan),247.0,15.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35563,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,17.0,26.0,Expanding brake (drum brake),Expanding brake (drum brake)
35564,Sport,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,42.0,Expanding brake (drum brake),Expanding brake (drum brake)
35565,Naked bike,"Twin, four-stroke",Chain,500.0,18.0,33.0,Expanding brake (drum brake),Expanding brake (drum brake)
35566,Sport,"Twin, four-stroke",Chain,654.0,15.14,54.0,Expanding brake (drum brake),Expanding brake (drum brake)
35572,Sport,"Single cylinder, four-stroke",Chain,156.0,13.0,13.0,Expanding brake (drum brake),Expanding brake (drum brake)
35573,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35574,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35575,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,22.0,Expanding brake (drum brake),Expanding brake (drum brake)
35576,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,22.0,Expanding brake (drum brake),Expanding brake (drum brake)
35579,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35580,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35583,Allround,"Twin, four-stroke",Chain,305.0,19.0,15.0,Expanding brake (drum brake),Expanding brake (drum brake)
35587,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35588,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35591,Sport,"V2, four-stroke",Chain,883.0,7.2,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35594,Sport,"Single cylinder, two-stroke",Chain,173.0,11.5,9.3,Expanding brake (drum brake),Expanding brake (drum brake)
35596,Sport,"Single cylinder, two-stroke",Chain,97.0,13.0,8.2,Expanding brake (drum brake),Expanding brake (drum brake)
35599,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.5,Expanding brake (drum brake),Expanding brake (drum brake)
35600,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.5,Expanding brake (drum brake),Expanding brake (drum brake)
35611,Sport,"Twin, two-stroke",Chain,250.0,15.0,17.5,Expanding brake (drum brake),Expanding brake (drum brake)
35621,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35623,Sport,"Single cylinder, four-stroke",Chain,174.0,12.0,11.0,Expanding brake (drum brake),Expanding brake (drum brake)
35624,Sport,"Single cylinder, four-stroke",Chain,174.0,12.0,11.0,Expanding brake (drum brake),Expanding brake (drum brake)
35625,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35626,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35627,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
35628,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
35629,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
35630,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
35632,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35633,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35636,Allround,"Twin, four-stroke",Chain,646.0,13.5,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35645,Allround,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35646,Allround,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35647,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35648,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35649,Sport,"Twin, four-stroke",Chain,649.0,15.14,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35650,Sport,"Twin, four-stroke",Chain,649.0,15.14,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35660,Scooter,"Single cylinder, two-stroke",Chain,181.1,9.0,10.0,Expanding brake (drum brake),Expanding brake (drum brake)
35665,Sport,"Twin, two-stroke",Chain,246.0,11.36,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35667,Sport,"Single cylinder, two-stroke",Chain,98.0,11.5,8.1,Expanding brake (drum brake),Expanding brake (drum brake)
35671,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35672,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35675,Allround,"Single cylinder, four-stroke",Chain,347.0,13.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35676,Allround,"Single cylinder, four-stroke",Chain,347.0,13.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35677,Allround,"Single cylinder, four-stroke",Chain,498.0,16.0,28.0,Expanding brake (drum brake),Expanding brake (drum brake)
35678,Allround,"V2, four-stroke",Chain,646.0,16.0,31.4,Expanding brake (drum brake),Expanding brake (drum brake)
35679,Sport,"Single cylinder, four-stroke",Chain,348.0,12.5,21.0,Expanding brake (drum brake),Expanding brake (drum brake)
35680,Sport,"Single cylinder, four-stroke",Chain,246.2,17.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35681,Sport,"Single cylinder, four-stroke",Chain,174.2,17.0,9.4,Expanding brake (drum brake),Expanding brake (drum brake)
35682,Allround,"Single cylinder, four-stroke",Chain,246.0,17.0,24.8,Expanding brake (drum brake),Expanding brake (drum brake)
35686,Sport,"Single cylinder, four-stroke",Chain,246.2,14.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35692,Touring,"Twin, two-stroke",Chain,249.0,9.0,17.5,Expanding brake (drum brake),Expanding brake (drum brake)
35693,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,30.1,Expanding brake (drum brake),Expanding brake (drum brake)
35694,Allround,"Single cylinder, four-stroke",Shaft drive (cardan),247.0,15.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35695,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,17.0,26.0,Expanding brake (drum brake),Expanding brake (drum brake)
35696,Sport,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,42.0,Expanding brake (drum brake),Expanding brake (drum brake)
35697,Naked bike,"Twin, four-stroke",Chain,500.0,18.0,33.0,Expanding brake (drum brake),Expanding brake (drum brake)
35698,Sport,"Twin, four-stroke",Chain,654.0,15.14,54.0,Expanding brake (drum brake),Expanding brake (drum brake)
35703,Classic,"Single cylinder, two-stroke",Chain,125.0,12.0,15.0,Expanding brake (drum brake),Expanding brake (drum brake)
35707,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35708,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35709,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35710,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35718,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35719,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35722,Sport,"V2, four-stroke",Chain,883.0,7.2,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35725,Sport,"Single cylinder, two-stroke",Chain,173.0,11.5,9.3,Expanding brake (drum brake),Expanding brake (drum brake)
35728,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.5,Expanding brake (drum brake),Expanding brake (drum brake)
35751,Sport touring,"Single cylinder, two-stroke",Chain,175.0,9.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35753,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35756,Sport,"Single cylinder, four-stroke",Chain,174.0,12.0,11.0,Expanding brake (drum brake),Expanding brake (drum brake)
35757,Sport,"Single cylinder, four-stroke",Chain,174.0,12.0,11.0,Expanding brake (drum brake),Expanding brake (drum brake)
35758,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35759,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35760,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
35761,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
35762,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
35764,Classic,"Single cylinder, four-stroke",Chain,175.0,10.0,15.0,Expanding brake (drum brake),Expanding brake (drum brake)
35765,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35766,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35770,Sport,"Single cylinder, four-stroke",Chain,247.0,14.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35771,Allround,"Twin, four-stroke",Chain,646.0,13.5,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35783,Allround,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35784,Allround,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35785,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35786,Sport,"Twin, four-stroke",Chain,649.0,15.14,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35792,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),192.0,12.0,12.0,Expanding brake (drum brake),Expanding brake (drum brake)
35800,Sport,"Single cylinder, two-stroke",Chain,98.0,11.5,8.1,Expanding brake (drum brake),Expanding brake (drum brake)
35803,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35804,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35807,Allround,"Single cylinder, four-stroke",Chain,347.0,13.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35808,Allround,"Single cylinder, four-stroke",Chain,347.0,13.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35811,Allround,"V2, four-stroke",Chain,646.0,16.0,31.4,Expanding brake (drum brake),Expanding brake (drum brake)
35812,Sport,"Single cylinder, four-stroke",Chain,348.0,12.5,21.0,Expanding brake (drum brake),Expanding brake (drum brake)
35813,Sport,"Single cylinder, four-stroke",Chain,246.2,17.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35814,Sport,"Single cylinder, four-stroke",Chain,174.2,17.0,9.4,Expanding brake (drum brake),Expanding brake (drum brake)
35815,Allround,"Single cylinder, four-stroke",Chain,246.0,17.0,24.8,Expanding brake (drum brake),Expanding brake (drum brake)
35819,Sport,"Single cylinder, four-stroke",Chain,246.2,14.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35823,Allround,"Twin, two-stroke",Chain,247.0,11.36,20.0,Expanding brake (drum brake),Expanding brake (drum brake)
35824,Sport,"Twin, two-stroke",Chain,249.0,9.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35825,Touring,"Twin, two-stroke",Chain,249.0,9.0,17.5,Expanding brake (drum brake),Expanding brake (drum brake)
35826,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,30.1,Expanding brake (drum brake),Expanding brake (drum brake)
35827,Allround,"Single cylinder, four-stroke",Shaft drive (cardan),247.0,15.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35828,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,17.0,26.0,Expanding brake (drum brake),Expanding brake (drum brake)
35829,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,24.0,35.0,Expanding brake (drum brake),Expanding brake (drum brake)
35830,Sport,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,42.0,Expanding brake (drum brake),Expanding brake (drum brake)
35831,Sport,"Twin, four-stroke",Chain,654.0,15.14,54.0,Expanding brake (drum brake),Expanding brake (drum brake)
35839,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35840,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35841,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35842,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35850,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35851,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35855,Sport,"V2, four-stroke",Chain,883.0,7.2,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35859,Sport,"Single cylinder, two-stroke",Chain,173.0,11.5,9.3,Expanding brake (drum brake),Expanding brake (drum brake)
35863,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.2,Expanding brake (drum brake),Expanding brake (drum brake)
35864,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.2,Expanding brake (drum brake),Expanding brake (drum brake)
35891,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35892,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35895,Sport,"Single cylinder, four-stroke",Chain,174.0,12.0,11.0,Expanding brake (drum brake),Expanding brake (drum brake)
35896,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35897,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
35899,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
35901,Sport,"Single cylinder, four-stroke",Chain,174.0,10.8,12.3,Expanding brake (drum brake),Expanding brake (drum brake)
35902,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35903,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35904,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35905,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
35910,Sport,"Single cylinder, four-stroke",Chain,247.0,14.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35911,Allround,"Twin, four-stroke",Chain,646.0,13.5,52.0,Expanding brake (drum brake),Expanding brake (drum brake)
35926,Allround,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35927,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
35930,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),192.0,12.0,12.0,Expanding brake (drum brake),Expanding brake (drum brake)
35940,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35943,Allround,"Single cylinder, four-stroke",Chain,347.0,13.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35944,Allround,"Single cylinder, four-stroke",Chain,347.0,13.5,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35947,Allround,"Twin, four-stroke",Chain,646.0,16.0,31.4,Expanding brake (drum brake),Expanding brake (drum brake)
35948,Allround,"Twin, four-stroke",Chain,646.0,16.0,31.4,Expanding brake (drum brake),Expanding brake (drum brake)
35949,Sport,"Single cylinder, four-stroke",Chain,348.0,12.5,21.0,Expanding brake (drum brake),Expanding brake (drum brake)
35950,Sport,"Single cylinder, four-stroke",Chain,246.2,17.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35951,Sport,"Single cylinder, four-stroke",Chain,174.2,17.0,9.4,Expanding brake (drum brake),Expanding brake (drum brake)
35952,Allround,"Single cylinder, four-stroke",Chain,246.0,17.0,24.8,Expanding brake (drum brake),Expanding brake (drum brake)
35955,Allround,"Single cylinder, four-stroke",Chain,246.0,18.0,13.7,Expanding brake (drum brake),Expanding brake (drum brake)
35956,Sport,"Single cylinder, four-stroke",Chain,246.2,14.0,16.0,Expanding brake (drum brake),Expanding brake (drum brake)
35960,Allround,"Twin, two-stroke",Chain,247.0,13.6,20.0,Expanding brake (drum brake),Expanding brake (drum brake)
35961,Touring,"Twin, two-stroke",Chain,249.0,9.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
35962,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),594.0,17.0,30.1,Expanding brake (drum brake),Expanding brake (drum brake)
35963,Allround,"Single cylinder, four-stroke",Shaft drive (cardan),247.0,15.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
35964,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,17.0,26.0,Expanding brake (drum brake),Expanding brake (drum brake)
35965,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),494.0,24.0,35.0,Expanding brake (drum brake),Expanding brake (drum brake)
35968,Allround,"Twin, four-stroke",Chain,646.0,19.0,35.0,Expanding brake (drum brake),Expanding brake (drum brake)
35973,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,19.0,Expanding brake (drum brake),Expanding brake (drum brake)
35974,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35975,Sport,"Single cylinder, four-stroke",Chain,249.0,13.0,24.0,Expanding brake (drum brake),Expanding brake (drum brake)
35984,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35985,Touring,"V2, four-stroke",Chain,1212.7,14.19,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35988,Sport,"V2, four-stroke",Chain,883.0,7.2,55.0,Expanding brake (drum brake),Expanding brake (drum brake)
35992,Sport,"Single cylinder, two-stroke",Chain,173.0,11.5,9.3,Expanding brake (drum brake),Expanding brake (drum brake)
35994,Sport,"Twin, four-stroke",Chain,305.0,14.0,28.2,Expanding brake (drum brake),Expanding brake (drum brake)
36020,Allround,"Single cylinder, four-stroke",Chain,498.0,17.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
36022,Sport,"Single cylinder, four-stroke",Chain,174.0,12.0,11.0,Expanding brake (drum brake),Expanding brake (drum brake)
36023,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
36024,Sport,"Single cylinder, four-stroke",Chain,247.0,12.0,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
36025,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
36026,Sport,"Single cylinder, four-stroke",Chain,125.0,14.5,7.0,Expanding brake (drum brake),Expanding brake (drum brake)
36029,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
36030,Sport,"Single cylinder, four-stroke",Chain,125.0,15.0,5.8,Expanding brake (drum brake),Expanding brake (drum brake)
36032,Sport,"Single cylinder, four-stroke",Chain,174.0,10.8,12.3,Expanding brake (drum brake),Expanding brake (drum brake)
36033,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
36034,Scooter,"Single cylinder, two-stroke",Shaft drive (cardan),146.0,12.0,7.7,Expanding brake (drum brake),Expanding brake (drum brake)
36037,Sport,"Single cylinder, four-stroke",Chain,247.0,14.0,18.0,Expanding brake (drum brake),Expanding brake (drum brake)
36054,Allround,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
36055,Sport,"Twin, four-stroke",Chain,649.0,15.14,46.0,Expanding brake (drum brake),Expanding brake (drum brake)
36057,Allround,"Two cylinder boxer, four-stroke",Shaft drive (cardan),192.0,12.0,12.0,Expanding brake (drum brake),Expanding brake (drum brake)
36065,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
36066,Sport,"Single cylinder, four-stroke",Chain,248.0,12.5,17.0,Expanding brake (drum brake),Expanding brake (drum brake)
